PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,IID,Sex,population,Geographic_origin,Region,Pop7Groups
-0.015130692,-0.015154708,0.00095658,0.001516182,0.009304824,0.035940573,-0.01841033,0.008025972,-0.001553744,-0.009881875,-0.015244308,0.00237468,-0.00402677,-0.00428411,0.00930246,-0.014258258,-0.017186986,-0.0082909,-0.006390144,0.021567588,HGDP00013,M,Brahui,Pakistan,Asia,Central_South_Asia
0.007930541,-0.024554908,0.000596247,0.002534599,-0.00326083,0.050085802,-0.019644091,0.005902085,-0.001506133,-0.008006319,-0.01218183,0.000556515,-0.000533617,6.21E-05,-0.00294404,-0.008797471,-0.014077833,-0.011535871,-0.003235005,0.018816795,HGDP00037,M,Brahui,Pakistan,Asia,Central_South_Asia
-0.002950112,-0.020963907,-0.000752059,0.002814269,0.002787714,0.043523209,-0.015941606,0.006725001,-0.000644848,-0.009483663,-0.017089149,-0.000928723,-0.001032262,-0.003009006,-0.000469476,-0.01098623,-0.013070921,-0.012725536,5.33E-05,0.018590384,HGDP00060,M,Balochi,Pakistan,Asia,Central_South_Asia
0.009046406,-0.024806269,-0.000734428,0.004980945,-0.004780277,0.053873718,-0.023125965,0.007056315,-0.00088809,-0.005815538,-0.006808146,0.002352198,-0.000303752,0.002175515,-0.00073942,-0.018140504,-0.01544994,-0.010247389,-0.000446537,0.024762988,HGDP00084,M,Balochi,Pakistan,Asia,Central_South_Asia
0.012347186,-0.004630628,0.008439191,-0.007211647,-0.003415562,0.021135654,-0.008217139,0.001794368,-0.001954068,0.00261145,0.008285215,-0.000525823,-0.001576663,0.000388948,0.000221569,-0.009654167,-0.002433847,-0.003350977,0.000869939,0.008878242,HGDP00104,M,Hazara,Pakistan,Asia,Central_South_Asia
-0.084112815,0.019808502,-0.003795659,0.0060641,-0.089705416,0.047907575,0.126545615,0.000351486,5.86E-05,0.013261138,-0.005453441,0.022877811,-0.114613367,0.042670922,-0.007155809,0.004880986,-0.112709611,0.217874267,-0.015951547,0.332159784,HGDP00464,M,Biaka_Pygmies,Central_African_Republic,Subsaharian_Africa,Africa
-0.08420217,0.019553498,-0.003322556,0.006233049,-0.093373198,0.063953996,0.169747468,-0.001622243,0.003637767,0.025025793,-0.010465011,0.06976423,0.352959709,-0.079796992,-0.01607221,0.010601394,0.048745769,-0.077520687,0.002687081,0.002890927,HGDP01084,F,Biaka_Pygmies,Central_African_Republic,Subsaharian_Africa,Africa
-0.079081036,0.019018327,-0.002095336,0.009641609,-0.138036119,-0.066849022,-0.153580834,-0.000690598,-0.000224291,0.008174611,0.010468345,0.07439881,0.002656912,-0.000307508,-0.006194755,-0.00191109,-0.003166889,0.000373214,-0.001976036,-0.007806424,HGDP00450,M,Mbuti_Pygmies,Democratic_Republic_of_Congo,Subsaharian_Africa,Africa
-0.080447819,0.019324902,-0.002955798,0.010958808,-0.146739021,-0.07504212,-0.173599682,-0.002304918,0.00335305,0.012936923,0.010975841,0.097062088,0.005088695,-0.00168011,-0.004121706,0.003969335,0.008944875,-0.023126838,-2.94E-05,-0.022384212,HGDP00984,M,Mbuti_Pygmies,Democratic_Republic_of_Congo,Subsaharian_Africa,Africa
-0.083776555,0.015648602,-0.003556515,-0.013501028,0.09154915,-0.00066764,-0.016692096,-0.001640438,0.006106211,-0.050477232,0.064781953,0.019935681,0.054175916,0.161187733,-0.122063581,0.00359905,-0.006072209,0.004774611,0.103191814,0.037740286,HGDP00913,M,Mandenka,Senegal,Subsaharian_Africa,Africa
-0.084154447,0.015309009,-0.00392748,-0.00837663,0.082201932,0.001442955,-0.017554727,-0.000108715,0.003350323,-0.031436554,0.041142847,0.017587135,0.031615936,0.086146861,-0.060449968,0.006722635,-0.014132656,0.010031674,0.014655342,0.016529433,HGDP01284,M,Mandenka,Senegal,Subsaharian_Africa,Africa
-0.086348262,0.016898178,-0.005036669,-0.00996743,0.078153105,0.005141714,-0.012710205,-0.001796194,0.002206263,0.001840775,0.01446811,0.001371873,-0.028439727,-0.050960476,0.05772446,-0.006194106,-0.026996284,-0.001974477,-0.109856028,-0.021654005,HGDP00929,M,Yoruba,Nigeria,Subsaharian_Africa,Africa
-0.085803946,0.016282105,-0.003360626,-0.011240896,0.080273663,0.003696325,-0.010378464,-0.000733501,0.002985598,0.002436154,0.013603777,0.008991905,-0.008044373,-0.044452388,0.058637439,-0.017824858,-0.015798775,-0.010256636,-0.060914112,-0.008905754,HGDP00939,F,Yoruba,Nigeria,Subsaharian_Africa,Africa
