MappingID2,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,SuperClust
448,27,-0.0226692782791001,0.0277699459566071,0.00537078148606403,-0.000713631886454477,0.0178605819117304,0.0150666880125277,0.023634033097426,0.0146170201856126,0.00258375598250521,-0.00822288078496439,-0.000622953945576428,-0.0232255611632414,-0.00980403173389142,0.0194267291659575,-0.0128092032123389,-0.013777783377827,-0.00233193252228065,-0.0169933878767229,-0.00096246140019279,-0.0196448427460375,5
606,28,0.0254076705976252,0.00365365139310404,-0.00335331305262031,0.00774213169591982,0.00514551928411195,-0.0142194228345094,0.0150793956349949,-0.018708033077483,0.0107567245165319,0.0140832240597169,-0.00866974169209087,-0.00151852510486626,0.0157777282893423,-0.0071310733030477,-0.0054527770764058,0.0122387667287899,0.0286328458119307,-0.00516827247639038,-0.00305086167622203,-0.00251782369762585,6
40,29,-0.0368239395761899,-0.041985581907946,0.0201153317444954,0.0308607619919283,-0.0481978799598461,-0.00204932194104378,0.0117344773055277,-0.00032827018501016,0.00234758812162391,0.00513684630964015,0.00846416403982921,0.00402662206902397,-0.0117810674513318,-0.000258771015308097,-0.00138617240513802,0.00463613118427063,-0.00940582843135308,-0.00286406842078441,0.0127714209159,0.0159435608942975,1
783,30,-0.0226494816288129,0.0264655418709947,0.00375355870308667,-0.00250387026601716,0.0141333329715093,0.00807940326047851,0.00933073321308906,0.00294110066172312,-0.00101590684425536,-0.00797946821174099,0.00507117014472179,0.00154162423328977,-0.00424900832884052,-0.00304559163416186,0.00113276372797697,0.00219643184538549,0.000333514236826872,-0.00352888408144552,-0.00161232048601113,0.00623836115136844,5
100,31,0.00783241030212035,-0.00704349208664837,-0.00573453821915741,-0.0455316734951499,-0.00638626186549172,-0.0316563922747437,-0.00187426771647024,0.027217198526236,-0.00411383337805057,-0.0248583391548859,0.0116906277539834,-0.000944172565829843,-0.00754323611061971,-0.0112597258362956,-0.00297714353854195,0.00897832189380563,-0.0135118248496989,-0.00335763445417327,0.00511369804882276,-0.0134843215148169,6
681,32,0.00723057473249269,-0.00620965631772633,-0.00570891446257379,-0.0501492486926119,-0.0124574897217096,-0.0403221922943891,0.0017319507736517,0.0288838392136548,-0.0164932182333315,-0.0398973185567463,0.0105102917987243,0.00291962859280597,-0.0205045892679507,-0.0138263671024852,-0.000675009447474584,0.0150853533431024,-0.0160214436511139,-0.0165782228856461,0.00190327943562194,-0.0310376216252741,6
883,33,-0.0196157176615289,0.0282132625262761,0.00378613220177006,-0.00612012068130053,0.0145440519442921,0.000369749326783447,-0.0238686581067993,-0.0185906949094731,-0.00227699368881925,-0.0218171923075729,0.00124702560926089,-0.00333413276590248,-0.0132921743625222,-0.0181806517769305,-0.000169731710500384,0.0131100939286025,0.0151718812702927,0.00903450299319786,0.00782516039076019,0.00795553238047363,5
24,34,0.0177321213342808,-0.00260202050225294,-0.0251041958312664,0.0221107603220761,-0.00100019210854453,0.0132075678517008,-0.0211114812170778,0.0274885299400054,0.00734172199256844,-0.0126468270849184,-0.0100632867883049,0.0127679020729283,0.0108863926974806,0.0155788237939096,0.00712503960717183,0.0138054278857954,-0.0251139502160811,-0.00147665848458153,-0.0314949487176065,0.02062327979744,6
611,35,-0.0211342925442172,0.0281882111968278,0.00414316444229014,-0.00408941125254576,0.0361122685070465,0.0247995430442717,0.0690689978292874,0.0472622517988306,0.00986701373442404,0.00378736232484439,0.00634483495056129,0.009414899335709,9.12754592775878e-05,-0.00614947982332739,-0.000680462832216625,0.00585066923600997,-0.00804843408174467,0.00169000728943048,-0.00142190516805439,0.0148319626470944,5
75,36,-0.00808443604205421,0.0154052258703475,-0.006234287820338,0.000117731228682449,0.00915725097623913,-0.00627763131592726,0.015092558703988,0.00212564449419506,0.00881179729936966,0.00757675903298203,-0.0057656331834365,0.002443086896449,-0.00248853561902451,-0.00319173334869298,-0.00708071348191422,0.0178686960777096,0.00272060334660555,0.0151421081779171,0.0116885713639944,0.00283341682749482,5
